State County,City,Property Name Property Numbe Site Number,Unnamed: 0,Category,Division District,Property Name,Property Numbe Site Number
364 Sites in Alaska,,,,,,,
AK Yukon-koyukuk Census Area,160 MILES NE OF,PORCUPINE RIVER DEW STAGING CAMP F10AK0994,1.0,CON/HTRW,POD POA,,
,YUKON,,,,,,
AK Yukon-koyukuk Census Area,160 MILES NE OF,PORCUPINE RIVER DEW STAGING CAMP F10AK0994,2.0,HTRW,POD POA,,
,YUKON,,,,,,
AK Yukon-koyukuk Census Area,160 MILES NE OF,PORCUPINE RIVER DEW STAGING CAMP F10AK0994,3.0,BD/DR,POD POA,,
,YUKON,,,,,,
AK Nome Census Area,"7 MI N OF NOME,",ANVIL MOUNTAIN AWS F10AK1018,0.0,BD/DR,POD POA,,
,AK,,,,,,
AK Aleutians West Census Area,ADAK,DAVIS AFB F10AK0434,1.0,CON/HTRW,POD POA,,
AK Aleutians West Census Area,ADAK,DAVIS AFB F10AK0434,2.0,MMRP,POD POA,,
AK Aleutians West Census Area,ADAK,DAVIS AFB F10AK0434,3.0,MMRP,POD POA,,
AK Aleutians West Census Area,ADAK,DAVIS AFB F10AK0434,4.0,MMRP,POD POA,,
AK Aleutians West Census Area,ADAK,DAVIS AFB F10AK0434,5.0,MMRP,POD POA,,
AK Aleutians West Census Area,ADAK,DAVIS AFB F10AK0434,6.0,MMRP,POD POA,,
AK Aleutians West Census Area,ADAK ISLAND,CAPE YAKAK RADIO STA F10AK0040,2.0,CON/HTRW,POD POA,,
AK Aleutians West Census Area,ADAK ISLAND,CAPE YAKAK RADIO STA F10AK0040,3.0,HTRW,POD POA,,
AK Aleutians West Census Area,"ADAK, EAST OF",GREAT SITKIN ISL F10AK0114,3.0,HTRW,POD POA,,
AK Aleutians West Census Area,"ADAK, EAST OF",GREAT SITKIN ISL F10AK0114,4.0,MMRP,POD POA,,
AK Aleutians West Census Area,"ADAK,",,,CON/HTRW,POD POA,AMCHITKA AF AUXILIARY FIELD,F10AK0858 02
,SOUTHWEST OF,,,,,,
AK Aleutians West Census Area,"ADAK,",,,HTRW,POD POA,AMCHITKA AF AUXILIARY FIELD,F10AK0858 03
,SOUTHWEST OF,,,,,,
AK Aleutians West Census Area,"ADAK,",,,MMRP,POD POA,AMCHITKA AF AUXILIARY FIELD,F10AK0858 04
,SOUTHWEST OF,,,,,,
AK Aleutians West Census Area,"ADAK, WEST OF",,,HTRW,POD POA,TANAGA ISL,F10AK0228 01
AK Aleutians West Census Area,"ADAK, WEST OF",,,CON/HTRW,POD POA,TANAGA ISL,F10AK0228 02
AK Aleutians West Census Area,"ADAK, WEST OF",,,MMRP,POD POA,TANAGA ISL,F10AK0228 03
AK Aleutians West Census Area,AGATTU,,,HTRW,POD POA,AGATTU ISLAND,F10AK0025 03
AK Aleutians East Borough,"AKUTAN, SW OF",,,CON/HTRW,POD POA,AKUTAN,F10AK0018 02
AK Aleutians East Borough,"AKUTAN, SW OF",,,HTRW,POD POA,AKUTAN,F10AK0018 03
AK Aleutians West Census Area,ALEUTIAN,,,HTRW,POD POA,SEMISOPOCHNOI ISL,F10AK0208 01
,ISLANDS,,,,,,
AK Aleutians East Borough,ALEUTIAN,,,CON/HTRW,POD POA,TIGALDA ISLAND,F10AK0376 01
,"ISLANDS,",,,,,,
AK Aleutians West Census Area,ALEUTIAN,,,CON/HTRW,POD POA,FORT LEARNARD,F10AK0017 01
,"ISLANDS,",,,,,,
AK Aleutians West Census Area,ALEUTIAN,,,MMRP,POD POA,FORT LEARNARD,F10AK0017 02
,"ISLANDS,",,,,,,
AK Aleutians West Census Area,ALEUTIAN,,,MMRP,POD POA,FORT LEARNARD,F10AK0017 03
AK Aleutians West Census Area,ALEUTIAN,,,BD/DR,POD POA,KISKA ISL GARR(B & L),F10AK0137 01
,"ISLANDS,",,,,,,
AK Aleutians West Census Area,ALEUTIAN,,,HTRW,POD POA,KISKA ISL GARR(B & L),F10AK0137 03
,"ISLANDS,",,,,,,
AK Aleutians West Census Area,ALEUTIAN,,,MMRP,POD POA,KISKA ISL GARR(B & L),F10AK0137 04
,"ISLANDS,",,,,,,
AK Aleutians West Census Area,ALEUTIAN,,,CON/HTRW,POD POA,OGLIUGA ISL,F10AK0180 01
,"ISLANDS,",,,,,,
AK Aleutians West Census Area,ALEUTIAN,,,HTRW,POD POA,OGLIUGA ISL,F10AK0180 02
,"ISLANDS,",,,,,,
AK Anchorage Borough,ANCHORAGE,,,HTRW,POD POA,ANCHORAGE ACS STO ANX,F10AK0529 01
AK Matanuska-susitna Borough,"ANCHORAGE, N.",,,CON/HTRW,POD POA,NIKE SITE BAY,F10AK0850 02
,OF,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, N.",,,HTRW,POD POA,NIKE SITE BAY,F10AK0850 03
,OF,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, N.",,,CON/HTRW,POD POA,NIKE SITE BAY,F10AK0850 06
,OF,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, NW.",,,MMRP,POD POA,SUSITNA GUNNERY RNG,F10AK0225 06
,OF,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, NW.",,,MMRP,POD POA,SUSITNA GUNNERY RNG,F10AK0225 08
,OF,,,,,,
AK Matanuska-susitna Borough,"ANCHORAGE, NW.",,,MMRP,POD POA,SUSITNA GUNNERY RNG,F10AK0225 09
AK Anchorage Borough,"ANCHORAGE, SE.",,,CON/HTRW,POD POA,CHUGACH MTS-SHIP CREEK,F10AK0549 01
,OF,,,,,,
AK Bethel Census Area,ANIAK AIRPORT,,,CON/HTRW,POD POA,ANIAK ARPT,F10AK0499 01
AK Bethel Census Area,ANIAK AIRPORT,,,PRP/HTRW,POD POA,ANIAK ARPT,F10AK0499 02
AK Aleutians West Census Area,ATKA ISLAND,,,CON/HTRW,POD POA,ATKA AF AUX FLD,F10AK0851 01
AK Aleutians West Census Area,ATKA ISLAND,,,HTRW,POD POA,ATKA AF AUX FLD,F10AK0851 02
AK Aleutians West Census Area,ATKA ISLAND,,,BD/DR,POD POA,ATKA AF AUX FLD,F10AK0851 03
AK Aleutians West Census Area,ATKA ISLAND,,,MMRP,POD POA,ATKA AF AUX FLD,F10AK0851 04
AK Aleutians West Census Area,Atka Island,,,BD/DR,POD POA,ATKA CAPE KUDUGNAX,F10AK1063 01
AK Aleutians West Census Area,Atka Island,,,CON/HTRW,POD POA,ATKA CAPE KUDUGNAX,F10AK1063 02
AK Aleutians West Census Area,Atka Island,,,HTRW,POD POA,ATKA CAPE KUDUGNAX,F10AK1063 03
AK Aleutians West Census Area,ATTU ISLAND,,,CON/HTRW,POD POA,ATTU ISL MIL SITES,F10AK0055 02
AK Aleutians West Census Area,ATTU ISLAND,,,HTRW,POD POA,ATTU ISL MIL SITES,F10AK0055 03
AK Aleutians West Census Area,ATTU ISLAND,,,MMRP/CWM,POD POA,ATTU ISL MIL SITES,F10AK0055 04
AK Aleutians West Census Area,ATTU ISLAND,,,MMRP,POD POA,ATTU ISL MIL SITES,F10AK0055 05
AK Aleutians West Census Area,ATTU ISLAND,,,MMRP,POD POA,ATTU ISL MIL SITES,F10AK0055 06
AK Aleutians West Census Area,ATTU ISLAND,,,MMRP,POD POA,ATTU ISL MIL SITES,F10AK0055 07
AK North Slope Borough,BARROW,,,PRP/HTRW,POD POA,BARROW LANDFILL,F10AK1021 01
AK North Slope Borough,BARROW,,,BD/DR,POD POA,ELSON LAGOON,F10AK0020 01
AK North Slope Borough,"BARROW, EAST OF",,,BD/DR,POD POA,CAPE SIMPSON DEW-POW A,F10AK0021 01
AK North Slope Borough,"BARROW, EAST OF",,,CON/HTRW,POD POA,CAPE SIMPSON DEW-POW A,F10AK0021 02
AK North Slope Borough,"BARROW, EAST OF",,,HTRW,POD POA,CAPE SIMPSON DEW-POW A,F10AK0021 03
AK North Slope Borough,"BARROW, EAST OF",,,CON/HTRW,POD POA,KOGRU DEW (POW B),F10AK0022 02
AK North Slope Borough,"BARROW, EAST OF",,,HTRW,POD POA,KOGRU DEW (POW B),F10AK0022 03
AK North Slope Borough,"BARROW, EAST OF",,,HTRW,POD POA,KOGRU DEW (POW B),F10AK0022 04
AK North Slope Borough,"BARROW, EAST OF",,,HTRW,POD POA,KOGRU DEW (POW B),F10AK0022 05
AK North Slope Borough,"BARROW, IN & E.",,,BD/DR,POD POA,POINT BARROW RADIO STA,F10AK0472 01
,OF,,,,,,
AK Bethel Census Area,"BETHEL, SOUTH",,,BD/DR,POD POA,BETHEL ARPT,F10AK0514 01
,OF,,,,,,
AK Bethel Census Area,"BETHEL, SOUTH",,,CON/HTRW,POD POA,BETHEL ARPT,F10AK0514 02
,OF,,,,,,
AK Bethel Census Area,"BETHEL, SOUTH",,,HTRW,POD POA,BETHEL ARPT,F10AK0514 03
,OF,,,,,,
AK Bethel Census Area,"BETHEL, SOUTH",,,CON/HTRW,POD POA,BETHEL ARPT,F10AK0514 04
,OF,,,,,,
AK Bethel Census Area,"BETHEL, WEST OF",,,CON/HTRW,POD POA,BETHEL BIA HDQRS,F10AK0510 01
AK Aleutians East Borough,COLD BAY,,,CON/HTRW,POD POA,COLD BAY - FORT RANDALL,F10AK0845 01
AK Aleutians East Borough,COLD BAY,,,HTRW,POD POA,COLD BAY - FORT RANDALL,F10AK0845 02
AK Aleutians East Borough,COLD BAY,,,CON/HTRW,POD POA,COLD BAY - FORT RANDALL,F10AK0845 03
AK Aleutians East Borough,COLD BAY,,,MMRP,POD POA,COLD BAY - FORT RANDALL,F10AK0845 04
AK Aleutians East Borough,COLD BAY,,,CON/HTRW,POD POA,COLD BAY - FORT RANDALL,F10AK0845 05
AK Aleutians East Borough,COLD BAY,,,CON/HTRW,POD POA,COLD BAY - FORT RANDALL,F10AK0845 06
AK Aleutians East Borough,"COLD BAY, SOUTH",,,CON/HTRW,POD POA,CATON ISLAND,F10AK0029 01
,OF,,,,,,
AK Aleutians East Borough,"COLD BAY, SOUTH",,,HTRW,POD POA,CATON ISLAND,F10AK0029 02
,OF,,,,,,
AK Aleutians East Borough,"COLD BAY, SOUTH",,,CON/HTRW,POD POA,SANAK ISLAND ARMY AWS,F10AK0204 01
,OF,,,,,,
AK Aleutians East Borough,"COLD BAY, SOUTH",,,HTRW,POD POA,SANAK ISLAND ARMY AWS,F10AK0204 02
,OF,,,,,,
AK Valdez-cordova Census Area,CORDOVA,,,PRP/HTRW,POD POA,CORDOVA AF,F10AK0084 05
AK Prince Of Wales-outer,CRAIG,,,CON/HTRW,POD POA,CRAIG ACS SITE,F10AK0085 01
Ketchikan Census Area,,,,,,,
AK Prince Of Wales-outer,CRAIG,,,HTRW,POD POA,CRAIG ACS SITE,F10AK0085 03
Ketchikan Census Area,,,,,,,
AK Southeast Fairbanks Census,DELTA JUNCTION,,,HTRW,POD POA,GERSTLE RIVER EXPANSION AREA,F10AK0984 03
Area,,,,,,,
AK Southeast Fairbanks Census,DELTA JUNCTION,,,MMRP/CWM,POD POA,GERSTLE RIVER EXPANSION AREA,F10AK0984 04
AK Aleutians West Census Area,DUTCH HARBOR,,,BD/DR,POD POA,CHERNOFSKI HBR SUP&STO,F10AK0013 01
AK Aleutians West Census Area,DUTCH HARBOR,,,CON/HTRW,POD POA,CHERNOFSKI HBR SUP&STO,F10AK0013 02
AK Aleutians West Census Area,DUTCH HARBOR,,,HTRW,POD POA,CHERNOFSKI HBR SUP&STO,F10AK0013 03
AK Aleutians East Borough,"DUTCH HARBOR,",,,CON/HTRW,POD POA,UNALGA ISL NAV RADIO,F10AK0015 02
,NE,,,,,,
AK Aleutians East Borough,"DUTCH HARBOR,",,,HTRW,POD POA,UNALGA ISL NAV RADIO,F10AK0015 03
,NE,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",,,CON/HTRW,POD POA,DRIFTWOOD BAY RR STA,F10AK0016 02
,NW.,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",,,BD/DR,POD POA,FORT GLENN,F10AK0298 01
,W OF,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",,,CON/HTRW,POD POA,FORT GLENN,F10AK0298 02
,W OF,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",,,HTRW,POD POA,FORT GLENN,F10AK0298 03
,W OF,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",,,MMRP,POD POA,FORT GLENN,F10AK0298 04
,W OF,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",,,MMRP/CWM,POD POA,FORT GLENN,F10AK0298 05
,W OF,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",,,MMRP,POD POA,FORT GLENN,F10AK0298 06
,W OF,,,,,,
AK Aleutians West Census Area,"DUTCH HARBOR,",,,MMRP,POD POA,FORT GLENN,F10AK0298 07
AK Aleutians West Census Area,"DUTCH HARBOR,",,,MMRP,POD POA,FORT GLENN,F10AK0298 08
,W OF,,,,,,
