State County,City,Property Name,Property Numbe Site Number Category,Division District
167 Sites in New York,,,,
NY Albany County,ALTAMONT,NORTHEASTERN INDUSTRIAL PARK,C02NY0002 01 HTRW,NAD NAE
NY Albany County,ALTAMONT,NORTHEASTERN INDUSTRIAL PARK,C02NY0002 03 HTRW,NAD NAE
NY Albany County,ALTAMONT,NORTHEASTERN INDUSTRIAL PARK,C02NY0002 04 HTRW,NAD NAE
NY Albany County,ALTAMONT,NORTHEASTERN INDUSTRIAL PARK,C02NY0002 05 HTRW,NAD NAE
NY Clinton County,AU SABLE FORKS,PLATTSBURGH ATLAS S-6,C02NY0211 01 CON/HTRW,NAD NAE
NY Franklin County,BANGOR,BANGOR GAP FIL AX,C02NY0585 01 CON/HTRW,NAD NAE
NY Franklin County,BANGOR,BANGOR GAP FIL AX,C02NY0585 02 BD/DR,NAD NAE
NY Queens County,BREEZY POINT,FT TILDEN,C02NY0016 01 CON/HTRW,NAD NAE
NY Queens County,BREEZY POINT,FT TILDEN,C02NY0016 02 BD/DR,NAD NAE
NY Queens County,BREEZY POINT,FT TILDEN,C02NY0016 03 HTRW,NAD NAE
NY Queens County,BREEZY POINT,FT TILDEN,C02NY0016 04 MMRP,NAD NAE
NY Queens County,BREEZY POINT,FT TILDEN,C02NY0016 05 CON/HTRW,NAD NAE
NY Queens County,BREEZY POINT,FT TILDEN,C02NY0016 06 HTRW,NAD NAE
NY Queens County,BREEZY POINT,FT TILDEN,C02NY0016 07 HTRW,NAD NAE
NY Queens County,BREEZY POINT,FT TILDEN,C02NY0016 08 MMRP,NAD NAE
NY Bronx County,BRONX,NAVY TRAINING SCHOOL,C02NY1086 01 CON/HTRW,NAD NAE
NY Bronx County,BRONX,NIKE BAT NY 15 LAUNCH,C02NY0018 01 BD/DR,NAD NAE
NY Bronx County,BRONX,NIKE BAT NY 15 LAUNCH,C02NY0018 02 CON/HTRW,NAD NAE
NY Erie County,BUFFALO,AFPLT NO 18,C02NY0572 01 CON/HTRW,NAD NAE
NY Erie County,BUFFALO,AFPLT NO 49,C02NY0574 01 CON/HTRW,NAD NAE
NY Erie County,BUFFALO,NIKE BU 09,C02NY0091 02 CON/HTRW,NAD NAE
NY Erie County,BUFFALO,STERLING ENGINE CO,C02NY0977 01 CON/HTRW,NAD NAE
NY Oswego County,CENTRAL SQUARE,SUTTON COR GAP FIL AX,C02NY0717 01 CON/HTRW,NAD NAE
NY Clinton County,CHAMPLAIN,PLATTSBURGH ATLAS S-1,C02NY0206 01 CON/HTRW,NAD NAE
NY Chautauqua County,CHERRY CREEK,CHARLOTTE CEN GFA,C02NY0600 01 CON/HTRW,NAD NAE
NY Onondaga County,CICERO,SYRACUSE AAF,C02NY0723 01 CON/HTRW,NAD NAE
NY Putnam County,COLD SPRING,MARATHON BAT PLT,C02NY0602 01 PRP/HTRW,NWD NWO
NY Erie County,EAST AURORA,NIKE BU 34/35,C02NY0077 01 HTRW,NAD NAE
NY Erie County,EAST AURORA,NIKE BU 34/35,C02NY0077 02 CON/HTRW,NAD NAE
NY Suffolk County,EAST HAMPTON,CARTWRIGHT IS BOMB TAR,C02NY0965 01 MMRP,NAD NAE
NY Suffolk County,EAST HAMPTON,FORT MICHIE,C02NY0612 01 CON/HTRW,NAD NAE
NY Suffolk County,EAST HAMPTON,FORT MICHIE,C02NY0612 03 MMRP,NAD NAE
NY Essex County,ELIZABETHTOWN,PLATTSBURGH ATLAS S-5,C02NY0210 01 CON/HTRW,NAD NAE
NY Clinton County,ELLENBURG,PLATTSBURGH ATLAS S-10,C02NY0215 01 CON/HTRW,NAD NAE
NY Clinton County,ELLENBURG,PLATTSBURGH ATLAS S-9,C02NY0214 01 CON/HTRW,NAD NAE
,CENTER,,,
NY Clinton County,ELLENBURG,PLATTSBURGH ATLAS S-11,C02NY0216 01 BD/DR,NAD NAE
,DEPOT,,,
NY Clinton County,ELLENBURG,PLATTSBURGH ATLAS S-11,C02NY0216 02 CON/HTRW,NAD NAE
,DEPOT,,,
NY Clinton County,ELLENBURG,PLATTSBURGH ATLAS S-11,C02NY0216 03 HTRW,NAD NAE
,DEPOT,,,
NY Essex County,ESSEX,PLATTSBURGH ATLAS S-4,C02NY0209 01 CON/HTRW,NAD NAE
NY Essex County,ESSEX,PLATTSBURGH ATLAS S-4,C02NY0209 02 PRP/HTRW,NAD NAE
NY Queens County,FAR ROCKAWAY,R/WAY PT FCS #13,C02NY0690 01 BD/DR,NAD NAE
NY Suffolk County,FISHERS ISLAND,FORT H G WRIGHT,C02NY0610 01 MMRP,NAD NAE
NY Suffolk County,FISHERS ISLAND,N HILL FIRE CON STA,C02NY0661 01 MMRP,NAD NAE
NY Queens County,FLUSHING,ENGINEER SCH,C02NY0057 01 CON/HTRW,NAD NAE
NY Queens County,FLUSHING,ENGINEER SCH,C02NY0057 02 HTRW,NAD NAE
NY Queens County,FLUSHING,ENGINEER SCH,C02NY0057 03 BD/DR,NAD NAE
NY Kings County,FORT HAMILTON,FORT LAFAYETTE,C02NY0752 01 MMRP,NAD NAE
NY Nassau County,GARDEN CITY,ROOSEVELT FIELD,C02NY0997 01 PRP/HTRW,NAD NAB
NY Schenectady County,GLENVILLE,US NAV SUP DEPOT,C02NY0750 01 PRP/HTRW,NAD NAE
NY Schenectady County,GLENVILLE,US NAV SUP DEPOT,C02NY0750 02 HTRW,NAD NAE
NY New York County,GOVERNORS,FORT JAY,C02NY0611 01 MMRP,NAD NAE
,ISLAND,,,
NY New York County,GOVERNORS,FORT JAY,C02NY0611 02 MMRP,NAD NAE
,ISLAND,,,
NY Erie County,GRAND ISLAND,NIKE NF-41,C02NY0078 01 CON/HTRW,NAD NAE
NY Erie County,GRAND ISLAND,NIKE NF-41,C02NY0078 02 BD/DR,NAD NAE
NY Monroe County,GREECE,AFPLT NO 51,C02NY0575 01 CON/HTRW,NAD NAE
NY Monroe County,GREECE,AFPLT NO 51,C02NY0575 02 HTRW,NAD NAE
NY Monroe County,GREECE,AFPLT NO 51,C02NY0575 03 PRP/HTRW,NAD NAB
NY Erie County,HAMBURG,NIKE BU 51/52,C02NY0079 01 CON/HTRW,NAD NAE
NY Erie County,HAMBURG,NIKE BU 51/52,C02NY0079 02 HTRW,NAD NAE
NY Nassau County,HEMPSTEAD,MITCHEL FIELD,C02NY0645 01 CON/HTRW,NAD NAE
NY Nassau County,HEMPSTEAD,MITCHEL FIELD,C02NY0645 02 HTRW,NAD NAE
NY Nassau County,HEMPSTEAD,MITCHEL FIELD,C02NY0645 03 MMRP,NAD NAE
NY Jefferson County,HENDERSON,MADISON BKS TRGT R,C02NY0204 00 MMRP,NAD NAE
NY Jefferson County,HENDERSON,MADISON BKS TRGT R,C02NY0204 01 HTRW,NAD NAE
NY Chemung County,HORSEHEADS,ELMIRA SUB DEPOT,C02NY0203 01 CON/HTRW,NAD NAE
NY Queens County,JAMAICA,NAV HOSPITAL,C02NY0763 01 CON/HTRW,NAD NAE
NY Queens County,JAMAICA,NAV HOSPITAL,C02NY0763 02 BD/DR,NAD NAE
NY Queens County,JAMAICA,NAV HOSPITAL,C02NY0763 03 HTRW,NAD NAE
NY Erie County,LANCASTER,NIKE BU 18,C02NY0076 01 CON/HTRW,NAD NAE
NY Niagara County,LEWISTON,NIKE NF 03,C02NY0074 00 CON/HTRW,NAD NAE
NY Nassau County,LIDO BEACH,NIKE NY 29/30,C02NY0090 02 PRP/HTRW,NAD NAB
NY Onondaga County,LYSANDER,NEW YORK ORDNANCE WORKS,C02NY0290 01 HTRW,NAD NAE
NY Onondaga County,LYSANDER,NEW YORK ORDNANCE WORKS,C02NY0290 02 CON/HTRW,NAD NAE
NY Onondaga County,LYSANDER,NEW YORK ORDNANCE WORKS,C02NY0290 03 MMRP,NAD NAE
NY Saratoga County,MALTA,MALTA TEST STA,C02NY0898 01 PRP/HTRW,NWD NWK
NY Saratoga County,MALTA,MALTA TEST STA,C02NY0898 02 MMRP,NAD NAE
