State County,City,Property Name,Property Numbe Site Number Category,Division District
68 Sites in West Virginia,,,,
WV Kanawha County,CHARLESTON,YEAGER AIR NATIONAL GUARD,G03WV0001 02 CON/HTRW,LRD LRL
WV Kanawha County,CHARLESTON,YEAGER AIR NATIONAL GUARD,G03WV0001 03 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 00 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 01 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 02 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 03 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 04 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 05 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 06 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 07 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 08 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 09 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 10 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 11 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 12 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 13 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 14 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 15 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 16 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 17 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 25 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 35 PRP/HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 40 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 41 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 44 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 46 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 50 MMRP,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 60 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 62 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 64 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 70 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 80 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 81 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 82 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 83 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 84 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 85 CON/HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 87 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 88 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 90 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 91 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 95 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 97 BD/DR,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 98 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 99 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 A0 HTRW,LRD LRL
WV Mason County,CHESHIRE,WEST VIRGINIA ORD WORKS,G03WV0015 A1 HTRW,LRD LRL
WV Marshall County,CLARINGTON,MARSHALL ARMY CHEMICAL PLANT,G03WV0294 05 PRP/HTRW,LRD LRL
WV Tucker County,DAVIS,WV MANEUVER AREA,G03WV0065 00 HTRW,LRD LRL
WV Jefferson County,KEARNEYSVILLE,JEFFERSON COUNTY RECEIVER,G03WV0067 01 CON/HTRW,LRD LRL
WV Jefferson County,KEARNEYSVILLE,JEFFERSON COUNTY RECEIVER,G03WV0067 02 BD/DR,LRD LRL
WV Tucker County,LANEVILLE,WV Maneuver Area/Dolly Sods,G03WV0013 04 MMRP,LRD LRL
WV Tucker County,LANEVILLE,WV Maneuver Area/Dolly Sods,G03WV0013 05 MMRP,LRD LRL
WV Tucker County,LANEVILLE,WV Maneuver Area/Dolly Sods,G03WV0013 06 MMRP,LRD LRL
WV Tucker County,LANEVILLE,WV Maneuver Area/Dolly Sods,G03WV0013 07 MMRP,LRD LRL
WV Tucker County,LANEVILLE,WV Maneuver Area/Dolly Sods,G03WV0013 08 MMRP,LRD LRL
WV Tucker County,LANEVILLE,WV Maneuver Area/Dolly Sods,G03WV0013 09 MMRP,LRD LRL
WV Tucker County,LANEVILLE,WV Maneuver Area/Dolly Sods,G03WV0013 10 MMRP,LRD LRL
WV Tucker County,LANEVILLE,WV Maneuver Area/Dolly Sods,G03WV0013 11 MMRP,LRD LRL
WV Monongalia County,MORGANTOWN,MORGANTOWN OW,G03WV0034 01 PRP/HTRW,LRD LRL
WV Putnam County,NITRO,US Explosives Plant C,G03WV0295 04 MMRP,LRD LRL
WV Putnam County,NITRO,US Explosives Plant C,G03WV0295 05 PRP/HTRW,LRD LRL
WV Kanawha County,POCATALICO,GUTHRIE AFS,G03WV0069 01 CON/HTRW,LRD LRL
WV Kanawha County,POCATALICO,GUTHRIE AFS,G03WV0069 02 BD/DR,LRD LRL
WV Jefferson County,RIPPON,JEFFERSON CO TRANSMITTER,G03WV0070 01 CON/HTRW,LRD LRL
WV Jefferson County,RIPPON,JEFFERSON CO TRANSMITTER,G03WV0070 02 BD/DR,LRD LRL
WV Kanawha County,SOUTH,NAVAL ORDNANCE PLANT,G03WV0291 01 CON/HTRW,LRD LRL
,CHARLESTON,,,
WV Kanawha County,SOUTH,NAVAL ORDNANCE PLANT,G03WV0291 02 CON/HTRW,LRD LRL
38 Sites in Wyoming,,,,
WY Natrona County,19 MI NW OF,CASPER PRE BOMB RGE NO 3,B08WY0429 01 MMRP,NWD NWO
,CASPER,,,
WY Converse County,25 MI NW,CASPER PRE BOMB RGE NO 1,B08WY0427 01 MMRP,NWD NWO
,DOUGLAS,,,
WY Natrona County,30 MI NW CASPER,CASPER AIR TO GROUND GUN RGE,B08WY0425 01 MMRP,NWD NWO
WY Natrona County,32 MI NW OF,CASPER PRE BOMB RGE NO 4,B08WY0430 01 MMRP,NWD NWO
,CASPER,,,
WY Converse County,64 MI NE OF,CASPER PRE BOMB RGE NO 2,B08WY0428 01 MMRP,NWD NWO
,CASPER,,,
WY Natrona County,7 MI NW OF,CASPER GRO GUN RGE,B08WY0426 01 MMRP,NWD NWO
,CASPER,,,
WY Natrona County,CASPER,CASPER AFB,B08WY0424 01 CON/HTRW,NWD NWO
WY Natrona County,CASPER,CASPER AFB,B08WY0424 02 HTRW,NWD NWO
WY Natrona County,CASPER,CASPER AFB,B08WY0424 03 MMRP,NWD NWO
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 1,B08WY0464 01 CON/HTRW,NWD NWO
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 1,B08WY0464 02 HTRW,NWD NWO
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 2,B08WY0465 01 CON/HTRW,NWD NWO
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 2,B08WY0465 02 HTRW,NWD NWO
WY Laramie County,CHEYENNE,FE WARREN AFB FAC SITE 3,B08WY0466 01 CON/HTRW,NWD NWO
