Notice Type,Posted Date/Time,Notice Effective Date/Time,Notice End Date/Time,Notice Identifier,Subject,Response Date/Time,unit
Capacity Constraint,10/26/2021 02:40:07 PM,10/27/2021 09:00:00 AM,10/28/2021 09:00:00 AM,113730,NEXUS Pipeline Conditions for 10/27/2021,,NXUS
Capacity Constraint,10/25/2021 02:50:02 PM,10/26/2021 09:00:00 AM,10/27/2021 09:00:00 AM,113688,NEXUS Pipeline Conditions for 10/26/2021,,NXUS
Computer System Status,10/25/2021 09:19:10 AM,10/25/2021 09:19:10 AM,01/23/2022 09:19:10 AM,113673,Measurement Integrity Downtime this Friday Night,,NXUS
Capacity Constraint,10/24/2021 01:50:45 PM,10/25/2021 09:00:00 AM,10/26/2021 09:00:00 AM,113630,NEXUS Pipeline Conditions for 10/25/2021,,NXUS
Capacity Constraint,10/23/2021 01:40:43 PM,10/24/2021 09:00:00 AM,10/25/2021 09:00:00 AM,113603,NEXUS Pipeline Conditions for 10/24/2021,,NXUS
Capacity Constraint,10/22/2021 03:36:08 PM,10/23/2021 09:00:00 AM,10/24/2021 09:00:00 AM,113595,NEXUS Pipeline Conditions for 10/23/2021,,NXUS
Capacity Constraint,10/21/2021 02:54:41 PM,10/22/2021 09:00:00 AM,10/23/2021 09:00:00 AM,113542,NEXUS Pipeline Conditions for 10/22/2021,,NXUS
Capacity Constraint,10/20/2021 02:57:09 PM,10/21/2021 09:00:00 AM,10/22/2021 09:00:00 AM,113502,NEXUS Pipeline Conditions for 10/21/2021,,NXUS
Computer System Status,10/19/2021 04:19:02 PM,10/19/2021 04:19:02 PM,01/17/2022 04:19:02 PM,113483,Current Customer Usage and Informational Posting Downtime,,NXUS
Capacity Constraint,10/19/2021 03:37:19 PM,10/20/2021 09:00:00 AM,10/21/2021 09:00:00 AM,113467,NEXUS Pipeline Conditions for 10/20/2021--CORRECTION,,NXUS
Capacity Constraint,10/19/2021 03:25:34 PM,10/20/2021 09:00:00 AM,10/21/2021 09:00:00 AM,113465,NEXUS Pipeline Conditions for 10/20/2021,,NXUS
Capacity Constraint,10/18/2021 03:09:04 PM,10/19/2021 09:00:00 AM,10/20/2021 09:00:00 AM,113428,NEXUS Pipeline Conditions for 10/19/2021,,NXUS
Capacity Constraint,10/17/2021 02:55:19 PM,10/18/2021 09:00:00 AM,10/19/2021 09:00:00 AM,113389,NEXUS Pipeline Conditions for 10/18/2021,,NXUS
Capacity Constraint,10/16/2021 03:32:03 PM,10/17/2021 09:00:00 AM,10/18/2021 09:00:00 AM,113378,NEXUS Pipeline Conditions for 10/17/2021,,NXUS
Capacity Constraint,10/15/2021 01:33:16 PM,10/16/2021 09:00:00 AM,10/17/2021 09:00:00 AM,113329,NEXUS Pipeline Conditions for 10/16/2021,,NXUS
Capacity Constraint,10/14/2021 02:37:23 PM,10/15/2021 09:00:00 AM,10/16/2021 09:00:00 AM,113299,NEXUS Pipeline Conditions for 10/15/2021,,NXUS
Capacity Constraint,10/13/2021 02:31:25 PM,10/14/2021 09:00:00 AM,10/15/2021 09:00:00 AM,113258,NEXUS Pipeline Conditions for 10/14/2021,,NXUS
Capacity Constraint,10/12/2021 02:25:32 PM,10/13/2021 09:00:00 AM,10/14/2021 09:00:00 AM,113232,NEXUS Pipeline Conditions for 10/13/2021,,NXUS
Capacity Constraint,10/11/2021 01:34:32 PM,10/12/2021 09:00:00 AM,10/13/2021 09:00:00 AM,113194,NEXUS Pipeline Conditions for 10/12/2021,,NXUS
Capacity Constraint,10/10/2021 01:34:52 PM,10/11/2021 09:00:00 AM,10/12/2021 09:00:00 AM,113164,NEXUS Pipeline Conditions for 10/11/2021,,NXUS
Capacity Constraint,10/09/2021 01:33:01 PM,10/10/2021 09:00:00 AM,10/11/2021 09:00:00 AM,113138,NEXUS Pipeline Conditions for 10/10/2021,,NXUS
Capacity Constraint,10/08/2021 01:38:47 PM,10/09/2021 09:00:00 AM,10/10/2021 09:00:00 AM,113092,NEXUS Pipeline Conditions for 10/9/2021,,NXUS
Capacity Constraint,10/07/2021 02:57:20 PM,10/08/2021 09:00:00 AM,10/09/2021 09:00:00 AM,113062,NEXUS Pipeline Conditions for 10/8/2021,,NXUS
Capacity Constraint,10/06/2021 01:36:43 PM,10/07/2021 09:00:00 AM,10/08/2021 09:00:00 AM,113019,NEXUS Pipeline Conditions for 10/7/2021,,NXUS
Capacity Constraint,10/05/2021 03:58:02 PM,10/06/2021 09:00:00 AM,10/07/2021 09:00:00 AM,113011,NEXUS Pipeline Conditions for 10/6/2021,,NXUS
Capacity Constraint,10/04/2021 03:44:21 PM,10/05/2021 09:00:00 AM,10/06/2021 09:00:00 AM,112974,NEXUS Pipeline Conditions for 10/5/2021,,NXUS
Capacity Constraint,10/03/2021 01:38:55 PM,10/04/2021 09:00:00 AM,10/05/2021 09:00:00 AM,112921,NEXUS Pipeline Conditions for 10/4/2021,,NXUS
Capacity Constraint,10/02/2021 01:31:29 PM,10/03/2021 09:00:00 AM,10/04/2021 09:00:00 AM,112894,NEXUS Pipeline Conditions for 10/3/2021,,NXUS
Capacity Constraint,10/01/2021 03:54:25 PM,10/02/2021 09:00:00 AM,10/03/2021 09:00:00 AM,112883,NEXUS Pipeline Conditions for 10/2/2021,,NXUS
Capacity Constraint,09/30/2021 02:49:36 PM,10/01/2021 09:00:00 AM,10/02/2021 09:00:00 AM,112825,NEXUS Pipeline Conditions for 10/1/2021,,NXUS
Other,09/18/2021 05:00:00 PM,09/18/2021 05:00:00 PM,12/17/2021 04:53:53 PM,112458,LINK System has been restored to full operation,,NXUS
Other,09/16/2021 02:00:00 PM,09/16/2021 02:00:00 PM,12/15/2021 02:00:00 PM,112359,LINK System Downtime Due to System Maintenance -- Reminder,,NXUS
Computer System Status,09/09/2021 09:00:00 AM,09/09/2021 09:00:00 AM,12/08/2021 09:00:00 AM,112130,LINK System Downtime Due to System Maintenance,,NXUS
Computer System Status,08/25/2021 04:40:24 PM,08/25/2021 04:40:24 PM,11/23/2021 04:40:24 PM,111673,Additional TSA requirements that will impact LINK,,NXUS
Computer System Status,08/23/2021 07:40:35 AM,08/23/2021 07:40:35 AM,11/21/2021 07:40:35 AM,111543,Forced Password Reset of LINK User Account Password,,NXUS
Computer System Status,08/20/2021 12:12:01 PM,08/20/2021 12:12:01 PM,11/18/2021 12:12:01 PM,111448,Reminder - Please reset your LINK password by August 25,,NXUS
Computer System Status,08/10/2021 07:31:32 AM,08/10/2021 07:31:32 AM,11/08/2021 07:31:32 AM,111133,LINK System Downtime Due to System Maintenance,,NXUS
Computer System Status,08/05/2021 08:20:54 AM,08/05/2021 08:20:54 AM,11/03/2021 08:13:54 AM,110969,TSA Directive - Required Password Changes,,NXUS
Computer System Status,10/25/2021 09:19:10 AM,10/25/2021 09:19:10 AM,01/23/2022 09:19:10 AM,113674,Measurement Integrity Downtime this Friday Night,,SESH
Computer System Status,10/19/2021 04:19:02 PM,10/19/2021 04:19:02 PM,01/17/2022 04:19:02 PM,113484,Current Customer Usage and Informational Posting Downtime,,SESH
Other,09/18/2021 05:00:00 PM,09/18/2021 05:00:00 PM,12/17/2021 04:53:53 PM,112459,LINK System has been restored to full operation,,SESH
Other,09/16/2021 02:00:00 PM,09/16/2021 02:00:00 PM,12/15/2021 02:00:00 PM,112360,LINK System Downtime Due to System Maintenance -- Reminder,,SESH
Computer System Status,09/09/2021 09:00:00 AM,09/09/2021 09:00:00 AM,12/08/2021 09:00:00 AM,112131,LINK System Downtime Due to System Maintenance,,SESH
Capacity Constraint,08/30/2021 03:07:42 PM,08/30/2021 03:07:42 PM,11/28/2021 03:07:42 PM,111824,SESH Fall Outage Schedule,,SESH
Computer System Status,08/25/2021 04:40:24 PM,08/25/2021 04:40:24 PM,11/23/2021 04:40:24 PM,111674,Additional TSA requirements that will impact LINK,,SESH
Computer System Status,08/23/2021 07:40:35 AM,08/23/2021 07:40:35 AM,11/21/2021 07:40:35 AM,111544,Forced Password Reset of LINK User Account Password,,SESH
